,0
34,"교회 청년이랑 이야기하던 중에, 정자만 받아서 애기는 낳고 싶은데 결혼은 하기 싫다는 이야기를 들었습니다. 그러고 나서 다음날인가 사유리 출산 소식이 인터넷상에 기사로 도배가. 결혼을 파괴하고 건강한 가정제도을 파괴하는 언론들. 보고 들음에 정말 분별해야함을 !!! 어릴때부터 말씀으로 무장해야함을 절실히 느낍니다."
35,저야 독신의 은사나 받고 싶습니다. 아무리 생각해도 결혼은 도저히 감당 못하겠습니다. 본인 적성에도 도저히 맞지 않아 보입니다. 결혼의 은사가 있다면 주께 반납하고 독신의 은사나 받고 싶습니다.
36,이제는 명확하게 알려주어야 하는거 같아요성별은두개동성애는죄결혼외 모든 성관계는 간음결혼은 하나님의 계획낙태는 살인그동안 알겠지 하고 넘어갔더니 지금과 같은 열매를맺게되었네요
37,맞습니다. 기독교 성교육은 기독교 답게 해야죠
38,가정의 참 모습이 회복될 때 비혼주의문제도 해결될 것입니다.가족들이 한 자리에 둘러앉아 식사하며 서로 소통하는 시간이 반드시 필요합니다. 어떤 바쁜일보다 더 중요한 것은 가족이함께하는 시간이라고 생각합니다.
39,언론들이 비혼출산 기사를 돌아가면서 올리는 것은 비혼출산 다양한 가정을 인정하라는 의도로 보입니다!! 다양한 가족을 인정하라는 유사차별금지법인 건강가정기본법 개정안을 반대합니다!! 다양한 가족을 인정하게 되면 동성혼이 들어 올 수 있고 이성과양심으로 일처다부 일부다처등 반대할 자유를 침탈할 수 있습니다!! 해외의 비혼출산으로 동성혼의 입양아 대리모 아이에 대한 정체성과 아이의 입장에 대한 자세한 취재를 촉구합니다!! 생명윤리와 성윤리가 바로서야 가정이 살고 나라가 삽니다!!
40,비혼출산은 그리 간단한 문제가 아닙니다.생명을 다룬다는 한 병원에도 윤리위원회가 있어 불임부부에 있어 꼭 필요한 상황인지 검토하는 것이 지극히 당연하게 느껴지듯이 저는 오히려 경향신문과 이하늬 기자의 비혼출산에 대한 윤리적 비판과 사고는 어디에 두셨는지 묻고 싶습니다.생명은 남 녀가 만나 혹은 부부가 사랑해서 얻어지는 결과입니다.그 과정을 생략하고 왜 아이를 낳으려 합니까?씨받이 입니까?왜 아버지 없는 상황을 만들어 주려하고 왜 누군지도 모르는 남성의 아이를 낳아야 합니까? 생각할수록 이상합니다.아이에게 아버지를 어떻게 설명할겁니까
41,"비혼출산이 현실과의 빼놓을 수 없는 최고의 간극은 일본상황이 보여줍니다. 일본에서 정자기증으로 태어나 자란 사람들이 병원상대로 ‘아빠정보 알 권리’를 주장하고 있고, 이것을 입법화하려고 합니다. 아이입장에서는 당연한 것이겠지요. 해외입양된 아이들이 자라서 눈물겹게 ‘뿌리’를 찾고자 하는 것을 봅니다. 지난 번엔 소송까지 걸어서 친부모 면회를 했던 게 뉴스로 나왔지요!"
42,"미혼으로 사는 것도, 아이가 주어지지 않는 것에도 다 이유가 있는 것인데, 그런 자연의 이치에 순응해서 주어진 조건에서 최대한 자기를 성장시키려는 노력을 하기보다, 당장의 심심함, 노후생활에 대한 불안함을 피하려고 애를 낳는 것은 자신의 게으름과 이기심을 위해 아이를 희생시키려는 뜻을 실현하는 것이기 때문에, 그 애는 태어나서 필히 모친을 어렵게 만들게 된다. 자업자득을 겪게 만드는 것이다. 태어나는 아이도 부친을 모르기 때문에 자신의 씨, 조상, 원천 출신을 알수없어 영혼이, 마음이 방황하게 된다. 그런 것들이 사회를 탁하게 만듬"
43,히
44,씨도둑질이 어디 쉬운가
45,지금은 생명윤리가 큰 문제가 되고 아동학대 아기유기 등 한국사회가 감당할 여력이 안 된다! 100년 후에나 다시 생각해보자 ㅎㅎ 성기 제모하고 수술대 위에서 다리 벌려 임신수술 해달라는 건 너무 비인간적이다; 눈높이를 좀 낮추고 주변에 착한 남자를 만나거나 클럽이나 바에 가서 멋진 놈하고 원나잇 스탠드해라~ 그래야 아기 외모나 성격이 어느정도 예측가능하지...레즈비언 여성 동성애자들은 비혼출산이란 개념으로 남자 몸을 안 빌리고 임신이 가능해져 동성애를 사회적으로 인정받고 퍼트릴 수 있는 절호의 기회를 놓쳐서 많이 아쉽겠지만ㅋ;
46,"우리 모두 배워가며 성장하는 것이죠. 언급되지 않는 삶을 언급하는 것만으로도 충분한 가치가 있습니다. 인터뷰에서 평소 궁금했던 것도 알차게 언급 해주셨고, 남은 건 영화로 확인해보면 되겠어요 ^-^"
47,수정이 멋있다
48,꼭 보러 갈께요. 딸이랑~♡♡♡
49,가부장제에 순응한다기보단 여러 방법으로 표현된다는 걸 알려준 영화같아요! 하나 감독님 응원합니다'
50,애비규환 개봉이후 누적관객수 2만2천명이던데? 대박나셨네. 아주 성공하셨어.
51,댓글알바 너무 많이 쓰는거 아닌가요 아 정말 네이버 댓글에 당해서 영화를 봤는데 내용이 형편없네요
52,애비규환이란 제목의 어디에서 웃음이 나냐? 애미규환이었으면 웃었을까?
53,영화계가 어려운 시기에 개봉했지만 멋진 행보 감사합니다. 극장에서 꼭 챙겨보거나 불가능하더라도 VOD로도 꼭 챙겨보고 싶어요!
54,여자도 군대가고남자도 애키우고 하면 끝
55,지금은 트렌스 젠더가 된 엘렌페이지의 주노가 불현듯 떠오르네요.
56,보기도 전에 역겨움이 몰려온다. 진짜 페미가 돈이 되나보당...
57,"시대역행을 두려워하는 사람이 작가라면....글쎄...제대로 된 작가는 아니다! 시대사상에 자신을 맡기며 가는 개념없는 작가들은 세상에 차고 넘친다....제대로 된 페미니스트라면, 단순히 ‘여성권리’- 그 하나의 퍼즐조각이 아닌 전체를 바라보는 통찰력을 갖고 있을 것이다. 여성, 남성, 태아....이 들의 조화를 고민하는 진정한 페미니스트를 보고싶다!"
58,크리스탈 왜 그러고 있냐...
59,"최하나 감독의 인터뷰를 찬찬히 읽어보니 영화가 보고싶어지네요..최하나 감독님 여성과 남성은 대립하는 관계가 아닙니다. 제 아기를 품어야 하는 여성도 제 자식과 대립하는 관계가 아닙니다. 인터뷰중에 —‘낙태죄'가 문제가 되는 시대에 여성이 출산을 결심하는 장면이 보이면, 내 가치관과는 별개로 영화가 생명권을 옹호하는 것처럼 보일 것 같아서였다."" —최하나 감독님도 어머니가 낳아주셔서 살고 훌륭한 여성감독이 되지 않았습니까? 왜 생명을 지키고 존중하는 일이 눈치가 보이고 값없어 보이리라 생각하십니까...가장 귀한 것이 생명인 사람입니다"
60,페미딱지를 처음부터 붙이고 개봉한다라... 배급사가 마케팅 홍보는 포기한다는건가... 독립영화인가요?
61,"독특, 유별나게 살기 위해서 갖은 애를 다 쓰시는 느낌이라 동화되고 싶지 않고 하는 말마다 경계하게 된다."
62,"한비야(한인순), 혜민(주봉석). 모든 생활이 책파는데 촛점이 맞춰져 있음. 책을 팔기 위해 여행하고 학위따고.."
63,"배낭여행 1세대, 1.5세대는 이사람이 얼마나 많은 거짓말로 돈을 벌고 명예를 쌓았으며, 얼마나 많은 젊은이, 특히 여성들을 위험에 빠트렸는지 잘 알고있다. 저여자의 허언 따라했다가는 범법자가 되거나, 성폭행 당하고도 혼자 쉬쉬하며 살게 된 사람도 분명 있을 듯. 인터넷 시대였다면 책 출간하자마자 혜민처리 되었을거다."
64,"지금 생각하면 욕이 한바가지 아깝지 않은 사기꾼임....저여자 책 자체가 거짓말의 연속이고, 더 심각한건 저 여자 말만 믿고 개나소나 오지 여행갔다가 몇명은 실종 되었다지...이거 간접 살인 아니냐??? 조심해라 서점가면 비슷한 부류 아직도 있다"
65,바람의 딸 말 듣고는 여성 혼자 인도 갔다가 몹쓸 짓 많이 당했다고 하던데. 얼굴 내밀지 말고 제발 바람과 함께 사라지시길..
66,여자 혼자나 여자끼리 인도나 이슬람 국가는 절대로 여행하지 말아야 한다. 강간은 물론 장기까지 적출 당한다. 생명 또한 보장할 수 없다. 현지인의 호의에 응하다가 봉변 당한다.
67,이런인터뷰기사보면 언론이 참 문제다 라고 생각드네요. 사람들이 왜 비난하지는지. 사기꾼이라고 하는지 그 이유라도 좀 알아보시고 질문하지.ㅡ이런 자화자찬식 인터뷰가 기사입니까?
68,댓글들 보니 사람들이 영리하게 판단하는것 같아 다행이네요 지구상의 타국은 판타지가 아니고 현실은 무섭습니다
69,바람의 딸이라는 거창한 이름으로 많은 무고한 여성들을 위험한 오지로 몰고도 여전히 나대는 성격인듯
70,"엄청 좋은 말만 쓴것 같은데 ,반응은 좀 실망스럽겠네~~말없는 국민들이 관심 있는건 말과 행동이 일치하는 삶이지.말만 번지르한데는 많이 지쳐 있거든"
71,월드비젼이 국제구호개발 ngo라고? 기독교 자선단체일 뿐임.기자는 공부좀 하고 기사쓰고
72,운전 기사한태 막말한 딸래미는 잘 있나여? ㅋㅋㅋ
73,한비야하고 땡중 혜민하고 비슷한 부류라고..
74,저 여자 직업이 뭐야? 관심 없다. 기사 내지 마라
75,인도 실종자 대한민국이 3등입니다...
76,"여자 혜민이지, 희대의 사기꾼. 본인은 실천하지않고 증명되지 않는 이야기를 경험한 것처럼 꾸며 책내고 책 다팔아먹고 시간 십년 지나서 잊혀질때쯤 책 팔아먹으려고 다시 또 왔냐"
77,한비야가 한패야로 느껴지네 60넘어서 결혼한것도 자랑이라고 결국 책 선전하는거네 진짜 숭고한 사람은 저렇게 자랑하지 않는다 조용히 살지 봉사를 할수 있어도 희생을 할 줄 모르는 인물이다 늙으면 숙이고 사는게 이치인데 더 뻣뻣하게 관종되길 바란다면 그 행복은 오래가지 못할거다책장사 하고 싶으면 책방을 차리고 장사하시요
78,돈 떨어졌나?
79,난 이분 책을 읽은 적은 없는데 하나 확실한건 저 당시 인도에 대한 환상이 엄청났었음 스티브잡스도 인도에서 1년 있다가 왔잖아 내 친구도 어릴때 인도 다녀와서 인도인들은 철학적이고 눈으로 말한다느니 그런얘기 했음 외국인 눈에 인도가 신비로워 보이는 뭔가가 있었나봄 그러다 인터넷발달로 최근 인도의 실체 밝혀진듯
80,여자도 인도여행가면 안전하다고 시부렸던 ᆢ인도는 성폭행천국인디ᆞᆢ 그말듣고 한ㄱ ㄱ여자들 인도 홀로 배낭 여행가다가 다 성폭행 당하고... 인도는 말이다 여자는 기본이고 남자도 성폭행 댕하는곳이다..
81,가난하고 안전한 나라는 없다. 돈10만원과 모르는 사람의 목숨과 바꾸는게 가난이다. 가난은 모든 악의 근원이다
82,7급 공무원이 꿈인 어린 친구를 한대 때렸다는데 왜 때렸나요??
83,이 사람 때문에 내 인생이 망했다. 진로선택에 영향을 끼칠수있었던 시절 영향을 준 이사람의 책들을 다 안 읽었으면 좋았을텐데...내 선택이니 변명이지만...자기책때문에 인생이 달라진사람들에 대해 책임감을 좀 가졌으면...나는 당신을 증오한다
84,이 아줌마 너무 나대서 비호감. 여행기 책으로 낸것도 슈퍼우먼이 아니면 불가한 소설이라더군.
85,이 여자 책 보고 혼자 여행가서 불귀의 객이 된 여자들 어쩌냐? 험한 사고 당해서 시신도 온전히 수습 못하고. . 인생이 판타지냐?
86,정치색은 모르겠다만 민주당 입당하면 딱일 듯
87,이제 퍼포먼스를 바꿨나... 잊을만 하면 다시 나타나는 가증스러움이여...
88,당신은 실폐한 인생이요.이건 악플이 아니요.당신 스스로 생각해 보세요.가식으로 산 삶이란걸 알꺼요
89,책에서 인도같은 오지나라에 여자혼자 여행가라고 추천했는데 그나라는 성범죄가 만연한 나라였다 얼마나 많은 한국여자들이 피해를 입었는지 알수 없다고 한다 쯧쯧쯧
90,아줌마! 책 팔아먹으려 결혼까지 이슈 만들지 말고 자중하슈.
91,나이들더니 기력이 떨어져40kg배낭을 못 매니까 헛소리를 지걸이는군 이제 그만좀 나대라 돈있고 살만하니까 밖으로 나돌아 다닌거아녀 노동자들은 이런 생활 꿈도 못꾼다
92,""" 60대 한비야라면 안 저질렀을 잘못을 30대 치기 어린 한비야가 저질렀어요. 육로로 가서 성공한 사람이 있다고 듣고 저도 시도했던 것 같아요. 무모한 행동이었죠""시도는 했냐?이양반아 당신이 우려 먹었던 책의 내용을 관통하는 걸 부정하면 않되자나...그리고 이제 와서 뭐? 결혼은 했는데 따로 살면서 서로 편한데로 산다? 뭔놈의 책을 파시려는건지는 몰라도 이제는 않될거에요...요.즘 젊.은.이.들은 똑.똑.하.거.든.요어휴 오래 사실겁니다."
93,바람의 딸 내용이 모두 진짜인줄 알고 오지여행갔다 사고난 분들은 억울함은 누가 풀어줄까... 아직도 뭘 잘못한건지도 모르는거 같은데요
94,사회가 돌아가려면 아이도 있어야하고 비혼을 존중하기보단 결혼해서 아이양육하는 아둥바둥살아가는 대한민국의 모든 부모님을 응원하고싶네요
95,젊을때 무지 존경하며 책도 열심히 사서 읽었는데나이들어 생각하니 독종 !뻥쟁이!부지런한건 인정하지만 정말 밉생!
96,이여자...경험도 없으면서...글장난친거아니 사기친거 걸린건 아시는지...
97,또 한명의 심각한 리플리증후군 환자!!
98,아예~ 결혼하시든지말든지ㅋ 어렸을때는 책내용이 다 사실인줄알고 믿었었는데 책내용믿고 그대로 따라서하는 여자여행객들이 앞으로는 없어졌으면 합니다 더이상 언론에 회자되지 않았으면 하네요.
99,"한비야 책 내 봐야 이제 거짓말쟁, 사기꾼이란 이미지가 박혀서 그냥 웃기기만함. ㅋㅋ"
100,사람이 돈맛을 한 번 보면 참기 힘든가 봅니다
101,사기꾼
102,요즘 왜 이 아줌마 기사가 계속 나오는지 모르겠다.개인적으로.기사 안 다뤄줬으면 한다
103,한비야 말 믿고 인도 아프리카 혼자서 여행갔다가 인생조진 한국여자들 꽤 돼지...모두가 쉬쉬할뿐 한국은 근분부터 나라가 썪어빠진게 거짓말에 너무 관대함. 선진국중에 거짓말에 대해 죄의식이 가장 낮은 나라다 그러니 판새들도 사기범죄에 대해 관대하게 판결내리지 미국초등학교에서는 초딩이 거짓말하다 선생한테 들키면 학부모 소환된다 가정과 학교에서 거짓말이 중대범죄라는것부터 다시 지속적으로 가르쳐야 한다
104,"혜민이나 법륜, 한비야나 이지성 같은 이들의 책이 많이 팔리는 나라의 의식수준이 개돼지가 아니면 뭐냐 대체"
105,남자들아 지금당장 인도를 가보자 한국사람 나타나면 처다보는 눈들이 얼마나 많은줄 아노? 인도늠들은 피부만 조금 하얏다 싶음 다 천사로 본다 ᆢ 남자도 그런데 여자는 고냥 호랑이 우리에 죽은고기던져 주는 곳이야ᆞ 집단폭행은 기본이다 ᆢ 그당시는 납치 당해 죽언 사람도 많을거다 ᆢ 지금도 인도는 엄청무서운 곳이다 ᆞ 시체를 강에 던지고 그물 로 세수하고 목욕하고 이상한능들
106,인도 강간범들을 행복하게 한 분이네
107,테스형~ 세상이 왜이래~!!??? 전부 짝퉁이야~~~
108,이글에서만 벌써 두가지 앞뒤다름이 있네요. 1.대표비혼주의자였다 =》비혼한것뿐이지 비혼주의자는 아니었다. 2. 말은 필요한만큼만하고 안한다==》기자는 왜 만나자마자 2배속으로 말한다고 느꼈을까요? 한비야님의 책을읽고자란 한비야키즈입니다. 저도 . 한비야님의 에너지와 인생을 존중합니다. 그러나 신문사 인터뷰로 이렇게 큰 꼭지로 나올거면 생각은하시고 말씀하세요
109,배낭여행 혼자 가라고 해서 수많은 사람들 헛바람 들게 만든 아줌마...
110,중학생때 중국견문록 권장도서라 읽었는데 자전거 도둑맞았다고 남의자전거 훔쳐온 에피소드에 그야말로 컬쳐쇼크.
111,희대의 사기꾼이지 사망 실종자 성폭행 당한 사람들 엄청날거다
112,너때문에 이억만리 타국에서 강간당하고 목이썰린처녀귀신들이 널지옥으로끌고갈듯..
113,비정상적인 삶은 포장해서 조명시키지 마라 ᆢ엮겹다
114,"여기 그 유명한 국론통일을 시키신 분...ㅋㅋ 여야, 좌우, 진보보수를 떠나 한마음으로 씹어제끼는.. 그렇게 국론을 통일시키는 대단하신 사기꾼. 약쟁이, 쓰레기 소설가,..."
115,엉터리 여향기로 돈벌고 유명해진여자. 그만나와라.
116,인도가서 거지랑 같이 사시죠. 거지도 철학자라고 뻥쳐서 그 위험천만란 곳울 배낭 하나만 메고 여행가게 만든 장본인 아니던가요. 잘왔는지는 모루겠으니 잘가는 삶이 될런지 저만 알고 있는 건 아닌 거 같네요.
117,군장 40키로 가능한 여자 키햐 입만 열면 거짓말이 술술술
118,이런사람이 책을 팔기위해 인터뷰하는걸 기사화하는게 미친거임 이사람은 정신세계가 막장임
119,꼭 돈들여 위험한곳까지 싸돌아다녀야 여행이고 잘사는거니? 한곳에서 살아도 이 힘든 인생 여정 자체가 거대한 여행이지~
120,조선일보 수준떨어지게. 이게 기사꺼리냐
121,인도같은 쓰레기국가 환상가지게 만듬
122,옛날엔 먹혔어도 지금은 택도 없지
123,"우리 인순이 세계를 쳐돌더니 끝내 양놈 하나 물었네,ㅋ"
124,40키로 배낭매고 2일에 한번씩 잠을잔다라ㅋㅋㅋ 군대가서 행군해본 사람은 저말이 구라인걸 알지
125,책팔이 사기꾼 또 나왔네.. 니 책보고 인도가서 사망한 공무원과 실종자들에게 평생 사죄하는 마음으로 살아라.. ㅉㅉ
126,베낭메고 여행 다닌게 별거냐?유학하고 공부열심히해도 모르는게 인생이다.겸손하게들 살자.
127,주작질로 책장사하신 분.
128,60대 중후반. 이제 여기저기 아프기 시작해서 서로 병수발만 남았다 누가 헌신하고 누가 배신할지는 진짜 닥쳐봐야 안다 그동안이라도 예ㅡ쁜사랑 하세요
129,"사기꾼이던데, 그런책을 사실에 근거하지 않고 마음대로 쓴 자체가 사기임. 환상을 현실로 착각하게 만든 여자. 이름부터 가짜. 아버지가 지어주셨다더니 개명했다더라. 왜이리 거짓말하는 인간들이 많은지"
130,그나마 다행인건 한비야 전성기때 SNS가 없었으니 망정이지 있었으면 어휴
131,30대 치기 어린 한비야가 저지른 일이다?ㅋㅋㅋ 장난하심?30대란 나이가 그런 걸 책으로 쓰면 다른 사람들이 위험해진다라는 것도 생각 못 할 나이인가?곤란한 질문에 유체이탈 화법으로 슬쩍 넘어가려는 거 보니 현재 60대 한비야의 정신연령은 아직도 그 치기 어렸다는 30대에 머물러 있는 느낌이네
132,살짝 정신병 의심 좀 드는것 나만의 오해인지?
133,혜민이나 이여자나..개돼지 조련에 달인들..
134,여행살민마
135,그지같은 그짓말 안속는다
136,"내 인생은 내가 하고 싶은대로 산다, 하지만 조용히 사세요"
137,비난받아 마땅하다
138,인터넷도 없던 시절에 저허언 책읽고 아주 위험한 꿈을키웠었다
139,가끔씩 보이는 저여자보면 아~멋지다..닮고싶다..가 아니고. . 돈 떨어졌구나. 라는 생각이 먼저남.
140,10년 전 부산대 강연 왔는데 지방대라 취업 힘들겠지만 힘내라는 식으로 말함... 허허
141,아직도 이런식으로 책 팔아요?
142,"책으로, 우리나라 여성들 보고 인도로 여행가서 강간도 당해보고 윤간도 당해봐안 삶의 맛을 알게 된다고 했다던가 그 분? 그래서 뭣도 모르고 책보고 여행갔다가 돌아오지 못한 여자들이 부지기수라는 말이 있던데 사실임?"
143,"난,욕을 퍼부어주고 싶다 지가 난 첫남편 사이의 애들은 사생아냐? 개미친"
144,세상에 자꾸 자기를 드러내는것 자체가 허망한 일이다. 존재감을 통해서 자신의 정당성을 찾고 싶겟지만 부질없는 허상임.. 걍 조용히 지 인생사는거다... 남들에게 알리지도 말고....
145,"집단강간왕국 인도를 혼자 여행다니고 와서는 당했는지 말았는지, 정말 천국이라고 찬양하고 추천하시던 ?"
146,신정아 조국 너
147,그냥 이 아줌마 인생이 안 궁금해요
148,책 홍보네 결국엔
149,"예전처럼 모든 사람이 더 이상 본인에게 귀기울지않고 중심으로부터 멀어지는 이유는, 많은 사람들이 더 많은 정보와 사실들을 알게되어서 아닐까"
150,한때 이사람의 미사여구에 혹해 꽤나 인세비를 올려줬던 1인 나중에 이름부터 날조였다는 사실에 여행가가 아니라 소설가임을 깨달음 제대로 뒤통수 맞아서 아직도 후덜덜..언제나 사짜들은 반성이라곤 1도 없구나.
151,이 여자 보기싫다 사람들 속여서 번돈으로 잘 사는 땡중 누구랑 비슷한 느낌
152,불법입국만 있었던게 아니지. 그 터무니없는 이동거리도 그렇지만 이사람 글을본 내느낌은 이사람은 눈으로본게 아니라 귀로 줏어들은걸 경험한것처럼 쓰는구나라고 한문장으로 말하고 싶다. 똥이 둥둥떠다니는 갠지즈강을 신성함이 느껴지네마네..성폭행천국인 인도를 여자혼자 배낭메고 꼭 가봐라는둥. 90년대 중국간사람은 누구나안다 밤10시 이후는 공안이 두들겨도 호텔방문을 열어주면 안된다는걸. 그런데 그 사실을 말하지않는게 아니라 모르는 느낌.
153,책선전 그만 좀 하시오. 사서 볼래다가도 댓글보고 안 사겠소.
154,이 사람의 글은 하나같이 역겹다 우엑
155,저여자 책파는데 왜 언론이 광고해 주냐?
